District,Representative,Prior experience,Education,Assumed office,Residence,Born,Female,Black,Hispanic,Asian,Age
Maryland 4,Anthony G. Brown,"Lieutenant Governor of Maryland
Maryland House of Delegates","Harvard University (BA, JD)",2017,Lanham,1961,0,1,0,0,57
Maryland 5,Steny Hoyer,"Current Minority Whip
President of the Maryland State Senate, Maryland Board of Higher Education","University of Maryland, College Park (BA)
Georgetown University (JD)",1981,Mechanicsville,1939,0,0,0,0,79
Maryland 6,John Delaney,Businessman,"Columbia University (BS)
Georgetown University (JD)",2013,"Hagerstown, Frederick",1963,0,0,0,0,55
Maryland 7,Elijah Cummings,Speaker pro tempore of the Maryland House of Delegates,"Baltimore City College
Howard University (BA)
University of Maryland, Baltimore (JD)",1996,Baltimore,1951,0,1,0,0,67
Maryland 8,Jamie Raskin,Maryland State Senate Majority Whip,"Harvard University (BA, JD)",2017,Takoma Park,1962,0,0,0,0,56
Massachusetts 1,Richard Neal,Mayor of Springfield,"Holyoke Community College
American International College (BA)
University of Hartford (MA)",1989,Springfield,1949,0,0,0,0,69
Massachusetts 2,Jim McGovern,Congressional staff member,"American University (BA, MPA)",1997,Worcester,1959,0,0,0,0,59
Massachusetts 3,Niki Tsongas,Dean of External Affairs at Middlesex Community College,"Michigan State University
Smith College (BA)
Boston University (JD)",2007,Lowell,1946,1,0,0,0,72
Massachusetts 4,Joe Kennedy,"Prosecutor
assistant district attorney","Stanford University (BA)
Harvard University (JD)",2013,Brookline,1980,0,0,0,0,38
Massachusetts 5,Katherine Clark,"Massachusetts Senate
Massachusetts House of Representatives
Attorney","St. Lawrence University (BA)
Cornell University (JD)
Harvard University (MPA)",2013,Melrose,1963,1,0,0,0,55
Massachusetts 6,Seth Moulton,"Businessman
Activist
U.S. Marine Corps Captain","Harvard University (BS, MBA, MPP)",2015,Salem,1978,0,0,0,0,40
Massachusetts 7,Mike Capuano,Mayor of Somerville,"Dartmouth College (BA)
Boston College (JD)",1999,Somerville,1952,0,0,0,0,66
Massachusetts 8,Stephen F. Lynch,"Massachusetts Senate
Massachusetts House of Representatives","Wentworth Institute of Technology (BS)
Boston College (JD)
Harvard University (MPA)",2001,Boston,1955,0,0,0,0,63
Massachusetts 9,Bill Keating,"Massachusetts House of Representatives
Massachusetts Senate
Norfolk County District Attorney","Boston College (BA, MBA)
Suffolk University (JD)",2011,Bourne,1952,0,0,0,0,66
Michigan 1,Jack Bergman,U.S. Marine Corps Lieutenant General,"Gustavus Adolphus College (BA)
University of West Florida (MBA)",2017,Watersmeet,1947,0,0,0,0,71
Michigan 2,Bill Huizenga,Michigan House of Representatives,Calvin College (BA),2011,Zeeland,1969,0,0,0,0,49
Michigan 3,Justin Amash,Michigan House of Representatives,"University of Michigan (BA, JD)",2011,Cascade Township,1980,0,0,0,0,38
Michigan 4,John Moolenaar,"Michigan Senate
Michigan House of Representatives","Hope College (BS)
Harvard University (MPA)",2015,Midland,1961,0,0,0,0,57
Michigan 5,Dan Kildee,Genessee County Treasurer,"University of Michigan–Flint
Central Michigan University (BS)",2013,Flint Township,1958,0,0,0,0,60
Michigan 6,Fred Upton,U.S. government administrator,University of Michigan (BA),1987,St. Joseph,1953,0,0,0,0,65
Michigan 7,Tim Walberg,"U.S. House
Michigan House of Representatives","Western Illinois University
Moody Bible Institute
Taylor University (BA)
Wheaton College, Illinois (MA)",2011,Tipton,1951,0,0,0,0,67
Michigan 8,Mike Bishop,"Michigan Senate Majority Leader
Michigan House of Representatives","University of Michigan (BA)
Michigan State University (JD)",2015,Rochester Hills,1967,0,0,0,0,51
Michigan 9,Sander Levin,"Michigan Senate
U.S. Government administrator","University of Chicago (BA)
Columbia University (MA)
Harvard University (LLB)",1983,Royal Oak,1931,0,0,0,0,87
Michigan 10,Paul Mitchell,Businessman,Michigan State University (BA),2017,Dryden Township,1961,0,0,0,0,57
Michigan 11,David Trott,Lawyer,"University of Michigan (BA)
Duke University (JD)",2015,Birmingham,1960,0,0,0,0,58
Michigan 12,Debbie Dingell,Lobbyist,"Georgetown University (BS, MS)",2015,Dearborn,1953,1,0,0,0,65
Michigan 13,,,,,,,,,,,2018
Michigan 14,Brenda Lawrence,Mayor of Southfield,"University of Detroit Mercy
Central Michigan University (BA)",2015,Southfield,1954,1,1,0,0,64
Minnesota 1,Tim Walz,"Army National Guard Command Sergeant Major
teacher","Chadron State College (BS)
Minnesota State University, Mankato (MS)",2007,Mankato,1964,0,0,0,0,54
Minnesota 2,Jason Lewis,Radio show host,"University of Northern Iowa (BA)
University of Colorado Denver (MA)",2017,Woodbury,1955,0,0,0,0,63
Minnesota 3,Erik Paulsen,Majority Leader of the Minnesota House of Representatives,St. Olaf College (BA),2009,Eden Prairie,1965,0,0,0,0,53
Minnesota 4,Betty McCollum,"North St. Paul City Council
Minnesota House of Representatives",St. Catherine University (BA),2001,Saint Paul,1954,1,0,0,0,64
Minnesota 5,Keith Ellison,Minnesota House of Representatives,"Wayne State University (BA)
University of Minnesota (JD)",2007,Minneapolis,1963,0,1,0,0,55
Minnesota 6,Tom Emmer,Minnesota House of Representatives,"Boston College
University of Alaska Fairbanks (BA)
William Mitchell College of Law (JD)",2015,Delano,1961,0,0,0,0,57
Minnesota 7,Collin Peterson,"Certified Public Accountant
Minnesota Senate",Minnesota State University Moorhead (BA),1991,Moorhead,1944,0,0,0,0,74
Minnesota 8,Rick Nolan,"Minnesota House of Representatives
U.S. House
businessman","St. John’s University, Minnesota
University of Minnesota (BA)
University of Maryland, College Park
St. Cloud State University",2013,Crosby,1943,0,0,0,0,75
Mississippi 1,Trent Kelly,"District attorney, Tupelo, city prosecutor, Army National Guard Colonel","East Central Community College
University of Mississippi (BA, JD)
United States Army War College (MA)",2015,Saltillo,1966,0,0,0,0,52
Mississippi 2,Bennie Thompson,"alderman, mayor of Bolton, Hinds County Board of Supervisors","Tougaloo College (BA)
Jackson State University (MS)",1993,Bolton,1948,0,1,0,0,70
Mississippi 3,Gregg Harper,"Attorney, Rankin County Republican Party Chair","Mississippi College (BS)
University of Mississippi (JD)",2009,Brandon,1956,0,0,0,0,62
Mississippi 4,Steven Palazzo,Mississippi House of Representatives,"University of Southern Mississippi (BA, MPA)",2011,Gulfport,1970,0,0,0,0,48
Missouri 1,Lacy Clay,"Missouri Senate, Missouri House of Representatives","University of Maryland, College Park (BA)",2001,St. Louis,1956,0,1,0,0,62
Missouri 2,Ann Wagner,U.S. Ambassador to Luxembourg,University of Missouri (BS),2013,Ballwin,1962,1,0,0,0,56
Missouri 3,Blaine Luetkemeyer,"Missouri House of Representatives, State Tourism Director","Lincoln University, Missouri (BA)",2009,St. Elizabeth,1952,0,0,0,0,66
Missouri 4,Vicky Hartzler,Missouri House of Representatives,"University of Missouri (BS)
University of Central Missouri (MS)",2011,Harrisonville,1960,1,0,0,0,58
Missouri 5,Emanuel Cleaver,"Mayor of Kansas City, pastor, radio show host","Prairie View A&M University (BS)
Saint Paul School of Theology (MDiv)",2005,Kansas City,1944,0,1,0,0,74
Missouri 6,Sam Graves,Missouri Senate,University of Missouri (BS),2001,Tarkio,1963,0,0,0,0,55
Missouri 7,Billy Long,auctioneer,University of Missouri,2011,Springfield,1955,0,0,0,0,63
Missouri 8,Jason T. Smith,Missouri House of Representatives,"University of Missouri (BS)
Oklahoma City University (JD)",2013,Salem,1980,0,0,0,0,38
Montana at large,Greg Gianforte,business owner,"Stevens Institute of Technology (BS, MS)",2017,Bozeman,1961,0,0,0,0,57
Nebraska 1,Jeff Fortenberry,"Lincoln city council, businessman","Louisiana State University (BA)
Georgetown University (MPP)
Franciscan University (ThM)",2005,Lincoln,1960,0,0,0,0,58
Nebraska 2,Don Bacon,U.S. Air Force Brigadier General,"Northern Illinois University (BA)
University of Phoenix (MBA)
National Defense University (MA)",2017,Papillion,1963,0,0,0,0,55
Nebraska 3,Adrian Smith,"Gering City Council, Nebraska Legislature","Liberty University
University of Nebraska–Lincoln (BA)",2007,Gering,1970,0,0,0,0,48
Nevada 1,Dina Titus,"U.S. House, Nevada Senate","College of William & Mary (BA)
University of Georgia (MA)
Florida State University (PhD)",2013,Las Vegas,1950,1,0,0,0,68
Nevada 2,Mark Amodei,"Nevada Senate, Nevada Assembly","University of Nevada, Reno (BA)
University of the Pacific (JD)",2011,Carson City,1958,0,0,0,0,60
Nevada 3,Jacky Rosen,software developer,University of Minnesota (BA),2017,Henderson,1957,1,0,0,0,61
Nevada 4,Ruben Kihuen,"Nevada Assembly, Nevada Senate","College of Southern Nevada
University of Nevada, Las Vegas (BS)
University of Oklahoma",2017,Las Vegas,1980,0,0,0,0,38
New Hampshire 1,Carol Shea-Porter,U.S. House,"University of New Hampshire (BA, MPA)",2017,Rochester,1952,1,0,0,0,66
New Hampshire 2,Ann McLane Kuster,"Attorney, lobbyist","Dartmouth College (BA)
Georgetown University (JD)",2013,Hopkinton,1956,1,0,0,0,62
New Jersey 1,Donald Norcross,"New Jersey Senate, New Jersey General Assembly",Camden County College,2014,Camden,1958,0,0,0,0,60
New Jersey 2,Frank LoBiondo,New Jersey General Assembly,Saint Joseph's University (BA),1995,Bridgeton,1946,0,0,0,0,72
New Jersey 3,Tom MacArthur,Mayor of Randolph,Hofstra University (BA),2015,Toms River,1960,0,0,0,0,58
New Jersey 4,Chris Smith,Retail executive,The College of New Jersey (BS),1981,Hamilton Township,1953,0,0,0,0,65
New Jersey 5,Josh Gottheimer,"Lawyer, political aide","University of Pennsylvania (BA)
Pembroke College, Oxford
Harvard University (JD)",2017,Wyckoff,1975,0,0,0,0,43
New Jersey 6,Frank Pallone,"Long Branch city council, New Jersey Senate","Middlebury College (BA)
Tufts University (MA)
Rutgers University–Camden (JD)",1988,New Brunswick,1951,0,0,0,0,67
New Jersey 7,Leonard Lance,"New Jersey Senate, New Jersey General Assembly","Lehigh University (BA)
Vanderbilt University (JD)
Princeton University (MPA)",2009,Clinton Township,1952,0,0,0,0,66
New Jersey 8,Albio Sires,"Mayor of West New York, Speaker of the New Jersey General Assembly","Saint Peter's University (BA)
Middlebury College (MA)",2006,West New York,1951,0,0,0,0,67
New Jersey 9,Bill Pascrell,"New Jersey General Assembly, Mayor of Paterson","Fordham University (BA, MA)",1997,Paterson,1937,0,0,0,0,81
New Jersey 10,Donald Payne Jr.,"Newark Municipal Council, Essex County Freeholder",Kean University,2012,Newark,1958,0,1,0,0,60
New Jersey 11,Rodney Frelinghuysen,New Jersey General Assembly,"Hobart College (BA)
Trinity College, Connecticut",1995,Harding Township,1946,0,0,0,0,72
New Jersey 12,Bonnie Watson Coleman,New Jersey General Assembly Majority Leader,"Rutgers University
Thomas Edison State University (BA)",2015,Ewing Township,1945,1,1,0,0,73
New Mexico 1,Michelle Lujan Grisham,"Bernalillo County Commissioner, New Mexico Secretary of Health, Director of New Mexico Agency on Aging","University of New Mexico (BS, JD)",2013,Albuquerque,1959,1,0,1,0,59
New Mexico 2,Steve Pearce,"U.S. House, New Mexico House of Representatives","New Mexico State University (BBA)
Eastern New Mexico University (MBA)",2011,Hobbs,1947,0,0,0,0,71
New Mexico 3,Ben Luján,New Mexico Public Regulation Commissioner,"University of New Mexico
New Mexico Highlands University (BA)",2009,Santa Fe,1972,0,0,1,0,46
New York 1,Lee Zeldin,New York Senate,"University at Albany, SUNY (BA)
Union University, New York (JD)",2015,Shirley,1980,0,0,0,0,38
New York 2,Peter King,"Hempstead Town Council, Nassau County Comptroller","St. Francis College (BA)
University of Notre Dame (JD)",1993,Seaford,1944,0,0,0,0,74
New York 3,Thomas Suozzi,"County Executive of Nassau County, Mayor of Glen Cove, New York","Boston College (BA)
Fordham University (JD)",2017,Glen Cove,1962,0,0,0,0,56
New York 4,Kathleen Rice,Nassau County District Attorney,"Catholic University (BA)
Touro College (JD)",2015,Garden City,1965,1,0,0,0,53
New York 5,Gregory Meeks,New York State Assembly,"Adelphi University (BA)
Howard University (JD)",1998,Jamaica,1953,0,1,0,0,65
New York 6,Grace Meng,New York State Assembly,"University of Michigan (BA)
Yeshiva University (JD)",2013,Flushing,1975,1,0,0,1,43
New York 7,Nydia Velázquez,"Director, Dept. of Puerto Rican Community Affairs","University of Puerto Rico, Río Piedras (BA)
New York University (MA)",1993,Sunset Park,1953,1,0,1,0,65
New York 8,Hakeem Jeffries,New York State Assembly,"Binghamton University (BA)
Georgetown University (MPP)
New York University (JD)",2013,Prospect Heights,1970,0,1,0,0,48
New York 9,Yvette Clarke,New York City Council,"Oberlin College
Medgar Evers College",2007,Flatbush,1964,1,1,0,0,54
New York 10,Jerrold Nadler,New York State Assembly,"Columbia University (BA)
Fordham University (JD)",1992,Chelsea,1947,0,0,0,0,71
New York 11,Dan Donovan,Richmond County District Attorney,"St. John's University, New York (BA)
Fordham University (JD)",2015,Great Kills,1956,0,0,0,0,62
New York 12,Carolyn Maloney,New York City Council,Greensboro College (BA),1993,East Harlem,1946,1,0,0,0,72
New York 13,Adriano Espaillat,"New York State Senate, New York State Assembly","Queens College, City University of New York (BA)",2017,Inwood,1954,0,1,1,0,64
New York 14,Joseph Crowley,New York State Assembly,"Queens College, City University of New York (BA)",1999,Throggs Neck,1962,0,0,0,0,56
New York 15,José Serrano,New York State Assembly,Lehman College,1990,Concourse,1943,0,0,1,0,75
New York 16,Eliot Engel,"high school teacher, New York State Assembly","Lehman College (BA, MA)
New York Law School (JD)",1989,Riverdale,1947,0,0,0,0,71
New York 17,Nita Lowey,New York Assistant Secretary of State,Mount Holyoke College (BA),1989,Harrison,1937,1,0,0,0,81
New York 18,Sean Patrick Maloney,Attorney,"Georgetown University
University of Virginia (BA, JD)",2013,Carmel,1966,0,0,0,0,52
New York 19,John Faso,New York State Assembly,"State University of New York, Brockport (BS)
Georgetown University (JD)",2017,Kinderhook,1952,0,0,0,0,66
New York 20,Paul Tonko,New York State Assembly,Clarkson University (BS),2009,Amsterdam,1949,0,0,0,0,69
New York 21,Elise Stefanik,"Civil servant, Political activist",Harvard University (BA),2015,Willsboro,1984,1,0,0,0,34
New York 22,Claudia Tenney,New York State Assembly,"Colgate University (BA)
University of Cincinnati (JD)",2017,New Hartford,1961,1,0,0,0,57
New York 23,Tom Reed,Mayor of Corning,"Alfred University (BA)
Ohio Northern University (JD)",2010,Corning,1971,0,0,0,0,47
New York 24,John Katko,"Attorney, Prosecutor U.S. Attorney's Office","Niagara University (BA)
Syracuse University (JD)",2015,Camillus,1962,0,0,0,0,56
New York 25,,,,,,,,,,,2018
New York 26,Brian Higgins,"Buffalo Common Council, New York State Assembly","Buffalo State College (BA, MA)
Harvard University (MPA)",2005,Buffalo,1959,0,0,0,0,59
New York 27,Chris Collins,Erie County Executive,"North Carolina State University (BS)
University of Alabama at Birmingham (MBA)",2013,Clarence,1950,0,0,0,0,68
North Carolina 1,G. K. Butterfield,North Carolina Supreme Court Justice,"North Carolina Central University (BA, JD)",2004,Wilson,1947,0,0,0,0,71
North Carolina 2,George Holding,U.S. Attorney for Eastern North Carolina,"Wake Forest University (BA, JD)",2013,Raleigh,1968,0,0,0,0,50
North Carolina 3,Walter Jones,North Carolina House of Representatives,Barton College (BA),1995,Farmville,1943,0,0,0,0,75
North Carolina 4,David Price,college professor,"Mars Hill University
University of North Carolina at Chapel Hill (BA)
Yale University (BDiv, PhD)",1997,Chapel Hill,1940,0,0,0,0,78
North Carolina 5,Virginia Foxx,North Carolina Senate,"University of North Carolina at Chapel Hill (BA)
University of North Carolina at Greensboro (MA, EdD)",2005,Banner Elk,1943,1,0,0,0,75
North Carolina 6,Mark Walker,Southern Baptist pastor,"Trinity Baptist College
Piedmont International University (BA)",2015,Greensboro,1969,0,0,0,0,49
North Carolina 7,David Rouzer,North Carolina Senate,North Carolina State University (BS),2015,McGee Crossroads,1972,0,0,0,0,46
North Carolina 8,Richard Hudson,Businessman,University of North Carolina at Charlotte (BA),2013,Concord,1971,0,0,0,0,47
North Carolina 9,Robert Pittenger,North Carolina Senate,University of Texas at Austin (BA),2013,Charlotte,1948,0,0,0,0,70
North Carolina 10,Patrick McHenry,North Carolina House of Representatives,"North Carolina State University
Belmont Abbey College (BA)",2005,Cherryville,1975,0,0,0,0,43
North Carolina 11,Mark Meadows,Businessman,"Florida State University
University of South Florida (BA)",2013,Cashiers,1959,0,0,0,0,59
North Carolina 12,Alma Adams,North Carolina House of Representatives,"North Carolina A&T State University (BS, MS)
Ohio State University (PhD)",2014,Charlotte,1946,1,1,0,0,72
North Carolina 13,Ted Budd,Businessman,"Appalachian State University (BS)
Dallas Theological Seminary (MA)
Wake Forest University (MBA)",2017,Advance,1971,0,0,0,0,47
North Dakota at large,Kevin Cramer,North Dakota Public Service Commissioner,"Concordia College, Minnesota (BA)
University of Mary (MA)",2013,Bismarck,1961,0,0,0,0,57
Ohio 1,Steve Chabot,"Cincinnati City Council, Hamilton County Commissioner, U.S. House","College of William & Mary (BA)
Northern Kentucky University (JD)",2011,Cincinnati,1953,0,0,0,0,65
Ohio 2,Brad Wenstrup,Physician,"University of Cincinnati (BA)
Rosalind Franklin University (BS, DPM)",2013,Cincinnati,1958,0,0,0,0,60
Ohio 3,Joyce Beatty,Ohio House of Representatives,"Central State University (BA)
Wright State University (MS)
University of Cincinnati",2013,Columbus,1950,1,1,0,0,68
Ohio 4,Jim Jordan,"Ohio Senate, Ohio House of Representatives","University of Wisconsin–Madison (BS)
Ohio State University (MA)
Capital University (JD)",2007,Lima,1964,0,0,0,0,54
Ohio 5,Bob Latta,"Wood County Commissioner, Ohio House of Representatives, Ohio Senate","Bowling Green State University (BA)
University of Toledo (JD)",2007,Bowling Green,1956,0,0,0,0,62
Ohio 6,Bill Johnson,United States Air Force,"Troy University (BS)
Georgia Institute of Technology (MS)",2011,Marietta,1954,0,0,0,0,64
Ohio 7,Bob Gibbs,"Ohio Senate, Ohio House of Representatives","Ohio State University, Wooster",2011,"Washington Township, Holmes County",1954,0,0,0,0,64
Ohio 8,Warren Davidson,Businessman,"United States Military Academy (BS)
University of Notre Dame (MBA)",2016,Troy,1970,0,0,0,0,48
Ohio 9,Marcy Kaptur,"Domestic Policy Advisor, Carter Adm.","University of Wisconsin–Madison (BA)
University of Michigan (MUP)
Massachusetts Institute of Technology",1983,Toledo,1946,1,0,0,0,72
Ohio 10,Mike Turner,Mayor of Dayton,"Ohio Northern University (BA)
Case Western Reserve University (JD)
University of Dayton (MBA)",2003,Dayton,1960,0,0,0,0,58
Ohio 11,Marcia Fudge,Mayor of Warrensville Heights,"Ohio State University (BS)
Cleveland State University (JD)",2008,Cleveland,1952,1,1,0,0,66
Ohio 12,Troy Balderson,Ohio Senate,"Muskingum University, Ohio State University",2018,Zanesville,1962,0,0,0,0,56
Ohio 13,Tim Ryan,Ohio Senate,"Youngstown State University
Bowling Green State University (BA)
University of New Hampshire, Concord (JD)",2003,Niles,1973,0,0,0,0,45
Ohio 14,David Joyce,Geauga County Prosecutor,"University of Dayton (BS, JD)",2013,Richmond Heights,1957,0,0,0,0,61
Ohio 15,Steve Stivers,Ohio Senate,"Ohio State University (BA, MBA)
United States Army War College (MA)",2011,Columbus,1965,0,0,0,0,53
Ohio 16,Jim Renacci,"businessman, Mayor of Wadsworth",Indiana University of Pennsylvania (BS),2011,Wadsworth,1958,0,0,0,0,60
Oklahoma 1,,,,,,,,,,,2018
Oklahoma 2,Markwayne Mullin,Businessman,"Missouri Valley College
Oklahoma State University, Okmulgee",2013,Westville,1977,0,0,0,0,41
Oklahoma 3,Frank Lucas,Oklahoma House of Representatives,Oklahoma State University–Stillwater (BS),1994,Enid,1960,0,0,0,0,58
Oklahoma 4,Tom Cole,"Oklahoma Senate, Oklahoma Secretary of State, college professor","Grinnell College (BA)
Yale University (MA)
University of Oklahoma (PhD)",2003,Moore,1949,0,0,0,0,69
Oklahoma 5,Steve Russell,"Oklahoma Senate, U. S. Army Lieutenant Colonel","Ouachita Baptist University (BA)
United States Army Command and General Staff College (MMAS)",2015,Oklahoma City,1963,0,0,0,0,55
Oregon 1,Suzanne Bonamici,"Oregon House of Representatives, Oregon State Senate","Lane Community College
University of Oregon (BA, JD)",2012,Beaverton,1954,1,0,0,0,64
Oregon 2,Greg Walden,"Oregon House of Representatives, Oregon State Senate",University of Oregon (BS),1999,Hood River,1957,0,0,0,0,61
Oregon 3,Earl Blumenauer,"Oregon House of Representatives, Multnomah County Commissioner, Portland City Commissioner","Lewis & Clark College (BA, JD)",1996,Portland,1948,0,0,0,0,70
Oregon 4,Peter DeFazio,Lane County Commissioner,"Tufts University (BA)
University of Oregon (MA)",1987,Springfield,1947,0,0,0,0,71
Oregon 5,Kurt Schrader,"Veterinarian, Oregon State Senate","Cornell University (BA)
University of Illinois at Urbana–Champaign (BS, DVM)",2009,Canby,1951,0,0,0,0,67
Pennsylvania 1,Bob Brady,Congressional aide; Pennsylvania Turnpike Commission,–,1998,Philadelphia,1945,0,0,0,0,73
Pennsylvania 2,Dwight Evans,Pennsylvania House of Representatives,"Community College of Philadelphia
La Salle University (BA)",2016,Philadelphia,1954,0,1,0,0,64
Pennsylvania 3,Mike Kelly,businessman,University of Notre Dame (BA),2011,Butler,1948,0,0,0,0,70
Pennsylvania 4,Scott Perry,Pennsylvania House of Representatives,"Pennsylvania State University (BS)
United States Army War College (MS)",2013,Harrisburg,1962,0,0,0,0,56
Pennsylvania 5,Glenn Thompson,Centre County Republican Party Chair,"Pennsylvania State University (BS)
Temple University (MEd)",2009,Oil City,1959,0,0,0,0,59
Pennsylvania 6,Ryan Costello,"Chester County Board of Commissioners, Chester County Recorder of Deeds","Ursinus College (BA)
Villanova University (JD)",2015,West Chester,1976,0,0,0,0,42
Pennsylvania 7,,,,,,,,,,,2018
Pennsylvania 8,Brian Fitzpatrick,FBI operative,"La Salle University (BS)
Pennsylvania State University (MBA)
Pennsylvania State University, Carlisle (JD)",2017,Levittown,1973,0,0,0,0,45
Pennsylvania 9,Bill Shuster,Businessman,"Dickinson College (BA)
American University (MBA)",2001,Altoona,1961,0,0,0,0,57
Pennsylvania 10,Tom Marino,"Lycoming County District Attorney, U.S. Attorney for the Middle District of Pennsylvania","Pennsylvania College of Technology
Lycoming College (BA)
Dickinson School of Law (JD)",2011,Williamsport,1952,0,0,0,0,66
Pennsylvania 11,Lou Barletta,Mayor of Hazleton,"Luzerne County Community College
Bloomsburg University",2011,Hazleton,1956,0,0,0,0,62
Pennsylvania 12,Keith Rothfus,Attorney,"Buffalo State College (BS)
University of Notre Dame (JD)",2013,Oakmont,1962,0,0,0,0,56
Pennsylvania 13,Brendan F. Boyle,Pennsylvania House of Representatives,"University of Notre Dame (BA)
Harvard University (MPP)",2015,Philadelphia,1977,0,0,0,0,41
Pennsylvania 14,Michael Doyle,State Senator Chief of Staff,Pennsylvania State University (BS),1995,Pittsburgh,1953,0,0,0,0,65
Pennsylvania 15,,,,,,,,,,,2018
Pennsylvania 16,Lloyd Smucker,Pennsylvania Senate,"Lebanon Valley College
Franklin & Marshall College",2017,West Lampeter Township,1964,0,0,0,0,54
Pennsylvania 17,Matt Cartwright,Attorney,"Hamilton College, New York (BA)
University of Pennsylvania (JD)",2013,Moosic,1961,0,0,0,0,57
Pennsylvania 18,Conor Lamb,Assistant U.S. Attorney,"University of Pennsylvania (BA, JD)",2018,Mt. Lebanon,1984,0,0,0,0,34
Rhode Island 1,David Cicilline,"Mayor of Providence, Rhode Island House of Representatives","Brown University (BA)
Georgetown University (JD)",2011,Providence,1961,0,0,0,0,57
Rhode Island 2,Jim Langevin,"Secretary of State of Rhode Island, Rhode Island House of Representatives","Rhode Island College (BA)
Harvard University (MPA)",2001,Warwick,1964,0,0,0,0,54
South Carolina 1,Mark Sanford,"U.S. House (1995-2001), Governor of South Carolina","Furman University (BA)
University of Virginia (MBA)",2013,Charleston,1960,0,0,0,0,58
South Carolina 2,Joe Wilson,South Carolina Senate,"Washington and Lee University (BA)
University of South Carolina (JD)",2001,"Columbia suburbs, West Columbia",1947,0,0,0,0,71
South Carolina 3,Jeff Duncan,South Carolina House of Representatives,Clemson University (BA),2011,Laurens,1966,0,0,0,0,52
South Carolina 4,Trey Gowdy,7th Circuit Solicitor,"Baylor University (BA)
University of South Carolina (JD)",2011,Greenville,1964,0,0,0,0,54
South Carolina 5,Ralph Norman,"Real estate developer, South Carolina House of Representatives",Presbyterian College (BS),2017,Rock Hill,1953,0,0,0,0,65
South Carolina 6,Jim Clyburn,"Political aide, teacher",South Carolina State University (BA),1993,Columbia,1940,0,1,0,0,78
South Carolina 7,Tom Rice,"Attorney, businessman, Horry County Council Chair","University of South Carolina (BS, MA, JD)",2013,Myrtle Beach,1957,0,0,0,0,61
South Dakota at large,Kristi Noem,South Dakota House of Representatives,"Northern State University
Mount Marty College
South Dakota State University (BA)",2011,Castlewood,1971,1,0,0,0,47
Tennessee 1,Phil Roe,"OB/GYN, Mayor of Johnson City","Austin Peay State University (BS)
University of Tennessee (MD)",2009,Johnson City,1945,0,0,0,0,73
Tennessee 2,Jimmy Duncan,state court judge,"University of Tennessee (BA)
George Washington University (JD)",1988,Knoxville,1947,0,0,0,0,71
Tennessee 3,Chuck Fleischmann,attorney,"University of Illinois at Urbana–Champaign (BA)
University of Tennessee (JD)",2011,Ooltewah,1962,0,0,0,0,56
Tennessee 4,Scott DesJarlais,Physician,"University of South Dakota (BS, MD)",2011,South Pittsburg,1964,0,0,0,0,54
Tennessee 5,Jim Cooper,"U.S. House, college professor","University of North Carolina at Chapel Hill (BA)
Oriel College, Oxford (MA)
Harvard University (JD)",2003,Nashville,1954,0,0,0,0,64
Tennessee 6,Diane Black,"Tennessee House of Representatives, Tennessee Senate","Anne Arundel Community College
Belmont University (BS)",2011,Gallatin,1951,1,0,0,0,67
Tennessee 7,Marsha Blackburn,Tennessee Senate,Mississippi State University (BS),2003,Brentwood,1952,1,0,0,0,66
Tennessee 8,David Kustoff,Attorney for the United States District Court for the Western District of Tennessee,"University of Memphis (BA, JD)",2017,Memphis,1966,0,0,0,0,52
Tennessee 9,Steve Cohen,"Tennessee Senate, Attorney","Vanderbilt University (BA)
University of Memphis (JD)",2007,Memphis,1949,0,0,0,0,69
Texas 1,Louie Gohmert,Texas appeals court judge,"Texas A&M University (BA)
Baylor University (JD)",2005,Tyler,1953,0,0,0,0,65
Texas 2,Ted Poe,Texas state district judge,"Abilene Christian University (BA)
University of Houston (JD)",2005,Humble,1948,0,0,0,0,70
Texas 3,Sam Johnson,"Texas House of Representatives, Colonel United States Air Force","Southern Methodist University (BA)
George Washington University (MS)",1991,Plano,1930,0,0,0,0,88
Texas 4,John Ratcliffe,"Mayor of Heath, U.S. Attorney for Eastern District of Texas","University of Notre Dame (BA)
Southern Methodist University (JD)",2015,Heath,1965,0,0,0,0,53
Texas 5,Jeb Hensarling,energy executive,"Texas A&M University (BA)
University of Texas at Austin (JD)",2003,Dallas,1957,0,0,0,0,61
Texas 6,Joe Barton,oil industry consultant,"Texas A&M University (BS)
Purdue University (MS)",1985,Arlington,1949,0,0,0,0,69
Texas 7,John Culberson,Texas House of Representatives,"Southern Methodist University (BA)
South Texas College of Law (JD)",2001,Houston,1956,0,0,0,0,62
Texas 8,Kevin Brady,Texas House of Representatives,University of South Dakota (BA),1997,The Woodlands,1955,0,0,0,0,63
Texas 9,Al Green,"Harris County Justice of the Peace, Houston NAACP president","Florida A&M University
Tuskeegee University (BA)
Texas Southern University (JD)",2005,Houston,1947,0,1,0,0,71
Texas 10,Michael McCaul,"Attorney, federal prosecutor","Trinity University (BA)
St. Mary's University, Texas (JD)",2005,West Lake Hills,1962,0,0,0,0,56
Texas 11,Mike Conaway,oil exploration executive,Texas A&M University–Commerce (BA),2005,Midland,1948,0,0,0,0,70
Texas 12,Kay Granger,Mayor of Fort Worth,Texas Wesleyan University (BA),1997,Fort Worth,1943,1,0,0,0,75
