Location,Incumbent,Party,First_elected,results,candidates,notes
California 51,Juan Vargas,Democratic,2012,Incumbent renominated.,"Juan Hidalgo Jr. (Republican)[55]
Juan Vargas (Democratic)[55]",
California 52,Scott Peters,Democratic,2012,Incumbent renominated.,"Scott Peters (Democratic)[55]
Omar Qudrat (Republican)[55]",
California 53,Susan Davis,Democratic,2000,Incumbent renominated.,"Susan Davis (Democratic)[55]
Morgan Murtaugh (Republican)[55]",
Colorado 1,Diana DeGette,Democratic,1996,Incumbent renominated.,"Diana DeGette (Democratic)[58]
Casper Stockham (Republican)[58]
Gary Swing (Unity)[59]",
Colorado 2,Jared Polis,Democratic,2008,"Incumbent retiring
to run for Governor.","Joe Neguse (Democratic)[58]
Peter Yu (Republican)[58]",
Colorado 3,Scott Tipton,Republican,2010,Incumbent renominated.,"Mary Malarsie (Independent)[60]
Diane Mitsch Bush (Democratic)[58]
Scott Tipton (Republican)[58]",
Colorado 4,Ken Buck,Republican,2014,Incumbent renominated.,"Ken Buck (Republican)[58]
Karen McCormick (Democratic)[58]",
Colorado 5,Doug Lamborn,Republican,2006,Incumbent renominated.,"Doug Lamborn (Republican)[58]
Stephany Rose Spaulding (Democratic)[58]",
Colorado 6,Mike Coffman,Republican,2008,Incumbent renominated.,"Mike Coffman (Republican)[58]
Jason Crow (Democratic)[58]",
Colorado 7,Ed Perlmutter,Democratic,2006,Incumbent renominated.,"Mark Barrington (Republican)[58]
Ed Perlmutter (Democratic)[58]",
Connecticut 1,John Larson,Democratic,1998,Incumbent renominated.,"John Larson (Democratic)[61]
Jennifer Nye (Republican)[62]",
Connecticut 2,Joe Courtney,Democratic,2006,Incumbent renominated.,"Joe Courtney (Democratic)[63]
Danny Postemski (Republican)[62]",
Connecticut 3,Rosa DeLauro,Democratic,1990,Incumbent renominated.,"Angel Cadena (Republican)[62]
Rosa DeLauro (Democratic)[64]",
Connecticut 4,Jim Himes,Democratic,2008,Incumbent renominated.,"Harry Arora (Republican)[62]
Jim Himes (Democratic)[65]",
Connecticut 5,Elizabeth Esty,Democratic,2012,Incumbent retiring.,"Jahana Hayes (Democratic)[66]
Manny Santos (Republican)[62]",
Delaware 1,Lisa Blunt Rochester,Democratic,2016,Incumbent renominated.,"Lisa Blunt Rochester (Democratic)[67]
Scott Walker (Republican)[67]",
Florida 1,Matt Gaetz,Republican,2016,Incumbent renominated.,"Matt Gaetz (Republican)[68]
Jennifer Zimmerman (Democratic)[68]",
Florida 2,Neal Dunn,Republican,2016,Incumbent renominated.,"Neal Dunn (Republican)[68]
Bob Rackleff (Democratic)[68]",
Florida 3,Ted Yoho,Republican,2012,Incumbent renominated.,"Yvonne Hayes Hinson (Democratic)[68]
Ted Yoho (Republican)[68]",
Florida 4,John Rutherford,Republican,2016,Incumbent renominated.,"Joceline Berrios (No Party Affiliation)[68]
Jason Bulger (No Party Affiliation)[68]
John Rutherford (Republican)[68]
Ges Selmont (Democratic)[68]",
Florida 5,Al Lawson,Democratic,2016,Incumbent renominated.,"Virginia Fuller (Republican)[68]
Al Lawson (Democratic)[68]",
Florida 6,Ron DeSantis,Republican,2012,"Representative Ron DeSantis (R) resigned September 10, 2018.[g]
New member to be elected.","Nancy Soderberg (Democratic)[68]
Michael Waltz (Republican)[68]",
Florida 7,Stephanie Murphy,Democratic,2016,Incumbent renominated.,"Mike Miller (Republican)[68]
Stephanie Murphy (Democratic)[68]",
Florida 8,Bill Posey,Republican,2008,Incumbent renominated.,"Sanjay Patel (Democratic)[68]
Bill Posey (Republican)[68]",
Florida 9,Darren Soto,Democratic,2016,Incumbent renominated.,"Wayne Liebnitzky (Republican)[68]
Darren Soto (Democratic)[68]",
Florida 10,Val Demings,Democratic,2016,Incumbent renominated.,Val Demings (Democratic)[68],
Florida 11,Daniel Webster,Republican,2010,Incumbent renominated.,"Dana Cottrell (Democratic)[68]
Daniel Webster (Republican)[68]",
Florida 12,Gus Bilirakis,Republican,2006,Incumbent renominated.,"Gus Bilirakis (Republican)[68]
Chris Hunter (Democratic)[68]
Angelika Purkis (No Party Affiliation)[68]",
Florida 13,Charlie Crist,Democratic,2016,Incumbent renominated.,"George Buck (Republican)[68]
Charlie Crist (Democratic)[68]",
Florida 14,Kathy Castor,Democratic,2006,Incumbent renominated.,Kathy Castor (Democratic)[68],
Florida 15,Dennis Ross,Republican,2010,Incumbent retiring.,"Kristen Carlson (Democratic)[68]
Ross Spano (Republican)[68]",
Florida 16,Vern Buchanan,Republican,2006,Incumbent renominated.,"Vern Buchanan (Republican)[68]
David Shapiro (Democratic)[68]",
Florida 17,Tom Rooney,Republican,2008,Incumbent retiring.,"Allen Ellison (Democratic)[h][68]
Greg Steube (Republican)[68]",
Florida 18,Brian Mast,Republican,2016,Incumbent renominated.,"Lauren Baer (Democratic)[68]
Brian Mast (Republican)[68]",
Florida 19,Francis Rooney,Republican,2016,Incumbent renominated.,"David Holden (Democratic)[68]
Francis Rooney (Republican)[68]",
Florida 20,Alcee Hastings,Democratic,1992,Incumbent renominated.,Alcee Hastings (Democratic)[68],
Florida 21,Lois Frankel,Democratic,2012,Incumbent renominated.,Lois Frankel (Democratic)[68],
Florida 22,Ted Deutch,Democratic,2010,Incumbent renominated.,"Ted Deutch (Democratic)[68]
Nicolas Kimaz (Republican)[68]",
Florida 23,Debbie Wasserman Schultz,Democratic,2004,Incumbent renominated.,"Tim Canova (No Party Affiliation)[68]
Don Endriss (No Party Affiliation)[68]
Joseph Kaufman (Republican)[68]
Debbie Wasserman Schultz (Democratic)[68]",
Florida 24,Frederica Wilson,Democratic,2010,Incumbent renominated.,Frederica Wilson (Democratic)[68],
Florida 25,Mario Díaz-Balart,Republican,2002,Incumbent renominated.,"Mary Barzee Flores (Democratic)[68]
Mario Díaz-Balart (Republican)[68]",
Florida 26,Carlos Curbelo,Republican,2014,Incumbent renominated.,"Carlos Curbelo (Republican)[68]
Debbie Mucarsel-Powell (Democratic)[68]",
Florida 27,Ileana Ros-Lehtinen,Republican,1989,Incumbent retiring.,"Mayra Joli (No Party Affiliation)[68]
Maria Elvira Salazar (Republican)[68]
Donna Shalala (Democratic)[68]",
Georgia 1,Buddy Carter,Republican,2014,Incumbent renominated.,"Buddy Carter (Republican)[70]
Lisa Ring (Democratic)[70]",
Georgia 2,Sanford Bishop,Democratic,1992,Incumbent renominated.,"Sanford Bishop (Democratic)[70]
Herman West (Republican)[70]",
Georgia 3,Drew Ferguson,Republican,2016,Incumbent renominated.,"Chuck Enderlin (Democratic)[70]
Drew Ferguson (Republican)[70]",
Georgia 4,Hank Johnson,Democratic,2006,Incumbent renominated.,"Hank Johnson (Democratic)[70]
Joe Profit (Republican)[70]",
Georgia 5,John Lewis,Democratic,1986,Incumbent renominated.,John Lewis (Democratic)[70],
Georgia 6,Karen Handel,Republican,2017,Incumbent renominated.,"Karen Handel (Republican)[70]
Lucy McBath (Democratic)[71][70]
Jeremy ""Carlton Heston"" Stubbs (Write-in)[70][72][73]",
Georgia 7,Rob Woodall,Republican,2010,Incumbent renominated.,"Carolyn Bourdeaux (Democratic)[70]
Rob Woodall (Republican)[70]",
Georgia 8,Austin Scott,Republican,2010,Incumbent renominated.,Austin Scott (Republican)[70],
Georgia 9,Doug Collins,Republican,2012,Incumbent renominated.,"Doug Collins (Republican)[70]
Robin Gilmer (Libertarian)[70]
Josh McCall (Democratic)[70]",
Georgia 10,Jody Hice,Republican,2014,Incumbent renominated.,"Jody Hice (Republican)[70]
Tabitha Johnson-Green (Democratic)[70]",
Georgia 11,Barry Loudermilk,Republican,2014,Incumbent renominated.,"Flynn Broady (Democratic)[70]
Barry Loudermilk (Republican)[70]",
Georgia 12,Rick Allen,Republican,2014,Incumbent renominated.,"Rick Allen (Republican)[70]
Francys Johnson (Democratic)[70]",
Georgia 13,David Scott,Democratic,2002,Incumbent renominated.,"David Callahan (Republican)[70]
Martin Cowen (Libertarian)[70]
David Scott (Democratic)[70]",
Georgia 14,Tom Graves,Republican,2010,Incumbent renominated.,"Steve Foster (Democratic)[70]
Tom Graves (Republican)[70]",
Hawaii 1,Colleen Hanabusa,Democratic,2016,Incumbent retiring to run for Governor.,"Zachary Burd (Green)[74]
Ed Case (Democratic)[74]
Campbell Cavasso (Republican)[74]
Calvin Griffin (Nonpartisan)[74]
Michelle Tippens (Libertarian)[74]",
Hawaii 2,Tulsi Gabbard,Democratic,2012,Incumbent renominated.,"Brian Evans (Republican)[74]
Tulsi Gabbard (Democratic)[74]",
Idaho 1,Raúl Labrador,Republican,2010,Incumbent retiring to run for Governor.,"Russ Fulcher (Republican)[75]
Scott Howard (Libertarian)[75]
Cristina McNeil (Democratic)[75]",
Idaho 2,Mike Simpson,Republican,1998,Incumbent renominated.,"Mike Simpson (Republican)[75]
Aaron Swisher (Democratic)[75]",
Illinois 1,Bobby Rush,Democratic,1992,Incumbent renominated.,"Bobby Rush (Democratic)[76]
Jimmy Tillman (Republican)[76]",
Illinois 2,Robin Kelly,Democratic,2013,Incumbent renominated.,"Robin Kelly (Democratic)[76]
David Merkle (Republican)[76]",
Illinois 3,Dan Lipinski,Democratic,2004,Incumbent renominated.,"Arthur Jones (Republican)[76]
Dan Lipinski (Democratic)[76]",
Illinois 4,Luis Gutiérrez,Democratic,1992,Incumbent retiring.,"Jesús ""Chuy"" García (Democratic)[76]
Mark Lorch (Republican)[76]",
Illinois 5,Mike Quigley,Democratic,2008,Incumbent renominated.,"Tom Hanson (Republican)[76]
Mike Quigley (Democratic)[76]",
Illinois 6,Peter Roskam,Republican,2006,Incumbent renominated.,"Sean Casten (Democratic)[76]
Peter Roskam (Republican)[76]",
Illinois 7,Danny Davis,Democratic,1996,Incumbent renominated.,"Craig Cameron (Republican)[76]
Danny Davis (Democratic)[76]",
Illinois 8,Raja Krishnamoorthi,Democratic,2016,Incumbent renominated.,"JD Diganvker (Republican)[76]
Raja Krishnamoorthi (Democratic)[76]",
Illinois 9,Jan Schakowsky,Democratic,1998,Incumbent renominated.,"John Elleson (Republican)[76]
Jan Schakowsky (Democratic)[76]",
Illinois 10,Brad Schneider,Democratic,2016,Incumbent renominated.,"Douglas Bennett (Republican)[76]
Brad Schneider (Democratic)[76]",
Illinois 11,Bill Foster,Democratic,2012,Incumbent renominated.,"Bill Foster (Democratic)[76]
Nick Stella (Republican)[76]",
Illinois 12,Mike Bost,Republican,2014,Incumbent renominated.,"Randall Auxier (Green)[77]
Mike Bost (Republican)[76]
Brendan Kelly (Democratic)[76]",
Illinois 13,Rodney Davis,Republican,2012,Incumbent renominated.,"Rodney Davis (Republican)[76]
Betsy Dirksen Londrigan (Democratic)[76]",
Illinois 14,Randy Hultgren,Republican,2010,Incumbent renominated.,"Randy Hultgren (Republican)[76]
Lauren Underwood (Democratic)[76]",
Illinois 15,John Shimkus,Republican,1996,Incumbent renominated.,"Kevin Gaither (Democratic)[76]
John Shimkus (Republican)[76]",
Illinois 16,Adam Kinzinger,Republican,2010,Incumbent renominated.,"Sara Dady (Democratic)[76]
Adam Kinzinger (Republican)[76]",
Illinois 17,Cheri Bustos,Democratic,2012,Incumbent renominated.,"Cheri Bustos (Democratic)[76]
Bill Fawell (Republican)[76]",
Illinois 18,Darin LaHood,Republican,2015,Incumbent renominated.,"Darin LaHood (Republican)[76]
Junius Rodriguez (Democratic)[76]",
Indiana 1,Pete Visclosky,Democratic,1984,Incumbent renominated.,"Mark Leyva (Republican)[78]
Pete Visclosky (Democratic)[78]",
Indiana 2,Jackie Walorski,Republican,2012,Incumbent renominated.,"Mel Hall (Democratic)[78]
Jackie Walorski (Republican)[78]",
Indiana 3,Jim Banks,Republican,2016,Incumbent renominated.,"Jim Banks (Republican)[78]
Courtney Tritch (Democratic)[78]",
Indiana 4,Todd Rokita,Republican,2010,Incumbent retiring to run for U.S. Senator.,"Jim Baird (Republican)[78]
Tobi Beck (Democratic)[78]",
Indiana 5,Susan Brooks,Republican,2012,Incumbent renominated.,"Susan Brooks (Republican)[78]
Dee Thornton (Democratic)[78]",
Indiana 6,Luke Messer,Republican,2012,Incumbent retiring to run for U.S. Senator.,"Jeannine Lake (Democratic)[78]
Greg Pence (Republican)[78]",
Indiana 7,André Carson,Democratic,2008,Incumbent renominated.,"André Carson (Democratic)[78]
Wayne ""Gunny"" Harmon (Republican)[78]",
Indiana 8,Larry Bucshon,Republican,2010,Incumbent renominated.,"Larry Bucshon (Republican)[78]
William Tanoos (Democratic)[78]",
Indiana 9,Trey Hollingsworth,Republican,2016,Incumbent renominated.,"Trey Hollingsworth (Republican)[78]
Liz Watson (Democratic)[78]",
Iowa 1,Rod Blum,Republican,2014,Incumbent renominated.,"Rod Blum (Republican)[79]
Abby Finkenauer (Democratic)[79]
Henry Gaff (Green)[80][81]",
Iowa 2,Dave Loebsack,Democratic,2006,Incumbent renominated.,"Daniel Clark (Independent)[80][81]
Dave Loebsack (Democratic)[79]
Christopher Peters (Republican)[79]",
Iowa 3,David Young,Republican,2014,Incumbent renominated.,"Cindy Axne (Democratic)[79]
Mark G. Elworth, Jr. (Legal Medical Now)[80][81]
Bryan Jack Holder (Libertarian)[79]
Paul Knupp (Green)[80][81]
David Young (Republican)[79]",
Iowa 4,Steve King,Republican,2002,Incumbent renominated.,"Charles Aldrich (Libertarian)[79]
Steve King (Republican)[79]
J.D. Scholten (Democratic)[79]",
Kansas 1,Roger Marshall,Republican,2016,Incumbent renominated.,"Alan LaPolice (Democratic)[82]
Roger Marshall (Republican)[82]",
Kansas 2,Lynn Jenkins,Republican,2008,Incumbent retiring.,"Paul Davis (Democratic)[82]
Kelly Standley (Libertarian)[83]
Steve Watkins (Republican)[82]",
Kansas 3,Kevin Yoder,Republican,2010,Incumbent renominated.,"Chris Clemmons (Libertarian)[83]
Sharice Davids (Democratic)[82]
Kevin Yoder (Republican)[82]",
Kansas 4,Ron Estes,Republican,2017,Incumbent renominated.,"Ron Estes (Republican)[82]
James Thompson (Democratic)[82]",
Kentucky 1,James Comer,Republican,2016,Incumbent renominated.,"James Comer (Republican)[84]
Paul Walker (Democratic)[85]",
Kentucky 2,Brett Guthrie,Republican,2008,Incumbent renominated.,"Brett Guthrie (Republican)[84]
Hank Linderman (Democratic)[85]",
Kentucky 3,John Yarmuth,Democratic,2006,Incumbent renominated.,"Vickie Glisson (Republican)[85]
John Yarmuth (Democratic)[84]",
Kentucky 4,Thomas Massie,Republican,2012,Incumbent renominated.,"David Goodwin (Independent)[86]
Seth Hall (Democratic)[85]
Thomas Massie (Republican)[84]",
Kentucky 5,Hal Rogers,Republican,1980,Incumbent renominated.,"Hal Rogers (Republican)[85]
Kenneth Stepp (Democratic)[85]",
Kentucky 6,Andy Barr,Republican,2012,Incumbent renominated.,"Andy Barr (Republican)[85]
Frank Harris (Libertarian)[84]
Amy McGrath (Democratic)[85]",
Louisiana 1,Steve Scalise,Republican,2008,Incumbent running.,"Lee Ann Dugas (Democratic)[87]
Jim Francis (Democratic)[88]
Frederick ""Ferd"" Jones (Independent)[87]
Howard Kearney (Libertarian)[89]
Tammy Savoie (Democratic)[90]
Steve Scalise (Republican)[91]",
Louisiana 2,Cedric Richmond,Democratic,2010,Incumbent running.,Cedric Richmond (Democratic)[92],
Louisiana 3,Clay Higgins,Republican,2016,Incumbent running.,"Rob Anderson (Democratic)[93]
Aaron Andrus (Libertarian)[94]
Josh Guillory (Republican)[95]
Clay Higgins (Republican)[96]
Mimi Methvin (Democratic)[97]
Larry Rader (Democratic)[98]
Verone Thomas (Democratic)[99]",
Louisiana 4,Mike Johnson,Republican,2016,Incumbent running.,"Mark David Halverson (No Party)[100]
Mike Johnson (Republican)[101]
Ryan Trundle (Democratic)[102]",
Louisiana 5,Ralph Abraham,Republican,2014,Incumbent running.,"Ralph Abraham (Republican)[103]
Billy Burkette (Independent)[104]
Jessee Carlton Fleenor (Democratic)[104]
Kyle Randol (Libertarian)[104]",
Louisiana 6,Garret Graves,Republican,2014,Incumbent running.,"Justin DeWitt (Democratic)[105]
Garret Graves (Republican)[106]
Andie Saizan (Democratic)[107]",
Maine 1,Chellie Pingree,Democratic,2008,Incumbent renominated.,"Marty Grohman (Independent)[108]
Mark Holbrook (Republican)[109]
Chellie Pingree (Democratic)[109]",
Maine 2,Bruce Poliquin,Republican,2014,Incumbent renominated.,"Tiffany Bond (Independent)
Jared Golden (Democratic)[109]
Will Hoar (Independent)
Bruce Poliquin (Republican)[109]",
Maryland 1,Andy Harris,Republican,2010,Incumbent renominated.,"Jesse Colvin (Democratic)[110]
Andy Harris (Republican)[110]
Jenica Martin (Libertarian)[110]",
Maryland 2,Dutch Ruppersberger,Democratic,2002,Incumbent renominated.,"Liz Matory (Republican)[110]
Dutch Ruppersberger (Democratic)[110]
Guy Mimoun (Green)[110]",
Maryland 3,John Sarbanes,Democratic,2006,Incumbent renominated.,"Charles Anthony (Republican)[110]
David Lashar (Libertarian)[110]
John Sarbanes (Democratic)[110]",
Maryland 4,Anthony Brown,Democratic,2016,Incumbent renominated.,"David Bishop (Libertarian)[110]
Anthony Brown (Democratic)[110]
George McDermott (Republican)[110]",
Maryland 5,Steny Hoyer,Democratic,1981,Incumbent renominated.,"William Devine III (Republican)[110]
Steny Hoyer (Democratic)[110]
Jacob Pulcher (Libertarian)[110]
Pat Elder (Green)[110]",
Maryland 6,John Delaney,Democratic,2012,"Incumbent retiring to run
for President in 2020","Ted Athey (Independent)[110]
Kevin Caldwell (Libertarian)[110]
George Gluck (Green)[110]
Amie Hoeber (Republican)[110]
David Trone (Democratic)[110]",
Maryland 7,Elijah Cummings,Democratic,1996,Incumbent renominated.,"Elijah Cummings (Democratic)[110]
Richmond Davis (Republican)[110]
Swami Swaminathan (Independent)[110]",
Maryland 8,Jamie Raskin,Democratic,2016,Incumbent renominated.,"Jamie Raskin (Democratic)[110]
John Walsh (Republican)[110]
Jasen Wunder (Libertarian)[110]",
Massachusetts 1,Richard Neal,Democratic,1988,Incumbent renominated.,Richard Neal (Democratic)[111],
