yr,mn,sub,cst_n,cst,pty_n,pty,can,vv1,cv1,cvs1,pv1,pvs1,seat
1980,11,new york,new york 15,257,democrat,180,"zeferetti, leo c.",98976,49684,0.501980305,49684,0.501980305,1
1980,11,missouri,missouri 5,221,democrat,180,"bolling, richard",158266,110957,0.70107919,110957,0.70107919,1
1980,11,michigan,michigan 10,185,american independent,41,"isaac, david",242252,1254,0.005176428,1254,0.005176428,0
1980,11,michigan,michigan 7,200,libertarian,409,"berry, dennis l",158803,11507,0.072460845,11507,0.072460845,0
1980,11,florida,florida 13,76,democrat,180,"lehman, william",170658,127828,0.749030232,127828,0.749030232,1
1980,11,michigan,michigan 1,184,modern republican,583,"bell, william m",130230,6244,0.047945943,6244,0.047945943,0
1980,11,iowa,iowa 2,137,others,4000,scattering,206637,3,1.45E-05,3,1.45E-05,0
1980,11,new york,new york 1,251,liberal,402,"cummings, richard m.",204486,3644,0.017820291,3644,0.017820291,0
1980,11,kentucky,kentucky 1,147,democrat,180,"hubbard, carroll jr.",-992,-992,-992,-992,-992,-992
1980,11,michigan,michigan 19,194,libertarian,409,"wright, brain",231894,3263,0.014071085,3263,0.014071085,0
1980,11,texas,texas 3,395,democrat,180,"porter, earle stephen",275234,49667,0.180453718,49667,0.180453718,0
1980,11,new york,new york 19,261,socialist workers,622,"dixon, reba williams",87376,692,0.007919795,692,0.007919795,0
1980,11,minnesota,minnesota 7,209,democrat-farmer-labor,183,"wenstrom, gene",259113,124026,0.478656024,124026,0.478656024,0
1980,11,new york,new york 19,261,democrat,180,"rangel, charles b.",87376,72995,0.835412443,72995,0.835412443,1
1980,11,florida,florida 6,83,republican,583,c.w. bill young,-992,-992,-992,-992,-992,1
1980,11,california,california 17,25,democrat,180,"johnson, willard h.",182939,53780,0.293977767,53780,0.293977767,0
1980,11,new york,new york 17,259,modern republican,583,"molinari, guy v.",145645,57810,0.396924019,57810,0.396924019,1
1980,11,tennessee,tennessee 7,376,others,4000,scattering,172835,2,1.16E-05,2,1.16E-05,0
1980,11,north carolina,north carolina 5,296,democrat,180,"neal, stephen l.",194338,99117,0.510023773,99117,0.510023773,1
1980,11,alabama,alabama 7,7,statesman,642,"owensby, mrs mary",168804,847,0.005017654,847,0.005017654,0
1980,11,colorado,colorado 3,62,federalist,218,scattering,192784,1,5.19E-06,1,5.19E-06,0
1980,11,indiana,indiana 4,130,independent,6003,"hope, stephen g.",198342,745,0.003756138,745,0.003756138,0
1980,11,ohio,ohio 21,315,democrat,180,"stokes, louis",-992,-992,-992,-992,-992,-992
1980,11,illinois,illinois 1,101,democrat,180,"washington, harold",125223,119562,0.954792678,119562,0.954792678,1
1980,11,alabama,alabama 7,7,modern republican,583,"bacon, james e",168804,43320,0.25662899,43320,0.25662899,0
1980,11,new york,new york 11,253,conservative,155,"carlan, andrew e.",98222,3868,0.039380178,3868,0.039380178,0
1980,11,alabama,alabama 3,3,democrat,180,"nichols, bill",-992,-992,-992,-992,-992,-992
1980,11,illinois,illinois 14,106,democrat,180,"kennel, leroy e.",263828,61224,0.232060283,61224,0.232060283,0
1980,11,california,california 6,56,modern republican,583,"spinosa, tom",134650,34500,0.256219834,34500,0.256219834,0
1980,11,new york,new york 12,254,liberal,402,"chisholm, shirley",40689,835,0.020521516,835,0.020521516,0
1980,11,louisiana,louisiana 7,160,democrat,180,john breaux,-992,-992,-992,-992,-992,1
1980,11,new york,new york 2,262,right to life,589,"modica, louis j.",149141,4707,0.031560738,4707,0.031560738,0
1980,11,new york,new york 9,289,conservative,155,"battista, vito p.",109360,7040,0.064374544,7040,0.064374544,0
1980,11,north carolina,north carolina 2,293,democrat,180,"fountain, l. h.",135243,99297,0.734211743,99297,0.734211743,1
1980,11,new york,new york 18,260,liberal,402,"green, mark j.",161200,6188,0.038387097,6188,0.038387097,0
1980,11,virginia,virginia 10,406,modern republican,583,"wolf, frank r.",216744,110840,0.511386693,110840,0.511386693,1
1980,11,texas,texas 12,381,modern republican,583,"bradshaw, jim",165390,65005,0.393040687,65005,0.393040687,0
1980,11,illinois,illinois 15,107,modern republican,583,"corcoran, tom",196619,150898,0.767463982,150898,0.767463982,1
1980,11,california,california 10,18,democrat,180,"edwards, don",164543,102231,0.621302664,102231,0.621302664,1
1980,11,virginia,virginia 2,407,independent,6023,"morrison, kenneth p.",108328,11003,0.101571158,11003,0.101571158,0
1980,11,new york,new york 30,274,democrat,180,"krupsak, mary anne",173889,50635,0.291191518,50635,0.291191518,0
1980,11,new york,new york 17,259,liberal,402,"codd, mary t.",145645,25118,0.172460437,25118,0.172460437,0
1980,11,new jersey,new jersey 10,235,youth against draft,768,"scott, frankie lee",89245,281,0.003148636,281,0.003148636,0
1980,11,louisiana,louisiana 8,161,republican,583,clyde c. holloway,109492,27816,0.254045963,27816,0.254045963,0
1980,11,utah,utah 2,403,modern republican,583,"marriott, dan",290765,194885,0.670249164,194885,0.670249164,1
1980,11,illinois,illinois 2,112,modern republican,583,"harris, marsha a.",147302,17428,0.118314758,17428,0.118314758,0
1980,11,indiana,indiana 4,130,democrat,180,"walda, john d.",198342,77542,0.390950978,77542,0.390950978,0
1980,11,illinois,illinois 22,115,democrat,180,"voelz, peter m.",212079,66065,0.311511278,66065,0.311511278,0
1980,11,washington,washington 7,421,modern republican,583,dunlap,197066,84218,0.427359372,84218,0.427359372,0
1980,11,california,california 18,26,democrat,180,"timmermans, mary",177461,51415,0.289725631,51415,0.289725631,0
1980,11,new york,new york 22,265,liberal,402,"bingham, johnathan b.",79015,3123,0.039524142,3123,0.039524142,0
1980,11,massachusetts,massachusetts 9,183,democrat,180,"moakley, john joseph",104046,104010,0.999653995,104010,0.999653995,1
1980,11,new york,new york 39,283,right to life,589,"ronan, geneviev f.",171432,2554,0.014898036,2554,0.014898036,0
1980,11,south carolina,south carolina 5,366,libertarian,409,"campbell, thomas",114025,14252,0.124990135,14252,0.124990135,0
1980,11,california,california 29,38,libertarian,409,"smith, earl",92999,2622,0.028193852,2622,0.028193852,0
1980,11,kentucky,kentucky 3,149,democrat,180,"mazzoli, romano l.",134724,85873,0.637399435,85873,0.637399435,1
1980,11,massachusetts,massachusetts 8,182,others,4000,scattering,164183,17,0.000103543,17,0.000103543,0
1980,11,virginia,virginia 6,411,modern republican,583,"butler, m. caldwell",124143,123125,0.991799772,123125,0.991799772,1
1980,11,ohio,ohio 14,307,democrat,180,"seiberling, john f.",159298,103336,0.648696184,103336,0.648696184,1
1980,11,new york,new york 5,285,liberal,402,"burstein, karen s.",182368,4196,0.023008423,4196,0.023008423,0
1980,11,alaska,alaska,8,others,4000,scattering,154618,607,0.003925804,607,0.003925804,0
1980,11,texas,texas 18,387,libertarian,409,"fraser, bill",90096,1983,0.022009857,1983,0.022009857,0
1980,11,virginia,virginia 8,413,democrat,180,"harris, herbert e. ii",195897,94530,0.482549489,94530,0.482549489,0
1980,11,virginia,virginia 6,411,others,4000,scattering,124143,1018,0.008200221,1018,0.008200221,0
1980,11,rhode island,rhode island 2,361,modern republican,583,schneider,208027,115057,0.553086877,115057,0.553086877,1
1980,11,ohio,ohio 3,318,democrat,180,"hall, tony p.",166869,95558,0.572652817,95558,0.572652817,1
1980,11,georgia,georgia 8,95,democrat,180,"evans, billy lee",122136,91103,0.7459144,91103,0.7459144,1
1980,11,ohio,ohio 12,305,modern republican,583,"devine, samuel l.",206804,98110,0.474410564,98110,0.474410564,0
1980,11,california,california 8,58,democrat,180,"dellums, ronald v.",195425,108380,0.554586172,108380,0.554586172,1
1980,11,new york,new york 28,271,conservative,155,"bradt, mary a.",210655,4970,0.023593079,4970,0.023593079,0
1980,11,texas,texas 10,379,libertarian,409,"grossber, michael",229424,4866,0.021209639,4866,0.021209639,0
1980,11,tennessee,tennessee 5,374,democrat,180,"boner, bill",181262,118506,0.653782904,118506,0.653782904,1
1980,11,oregon,oregon 4,334,modern republican,583,"fitzgerald, michael",289634,130861,0.451815039,130861,0.451815039,0
1980,11,indiana,indiana 10,126,modern republican,583,"frazier, william g.",193134,90051,0.466261774,90051,0.466261774,0
1980,11,new jersey,new jersey 15,240,modern republican,583,"osullivan,  william j. jr.",173071,75812,0.438039869,75812,0.438039869,0
1980,11,wisconsin,wisconsin 6,431,others,4000,scattering,242611,3,1.24E-05,3,1.24E-05,0
1980,11,virginia,virginia 8,413,independent,6025,"frantz, deborah l.",195897,5729,0.029244961,5729,0.029244961,0
1980,11,massachusetts,massachusetts 12,175,democrat,180,"studds, gerry e.",267421,195791,0.73214519,195791,0.73214519,1
1980,11,michigan,michigan 3,196,libertarian,409,"todd, charles",217414,891,0.004098172,891,0.004098172,0
1980,11,new jersey,new jersey 12,237,modern republican,583,"rinaldo, mathew j.",175026,134973,0.771159708,134973,0.771159708,1
1980,11,new york,new york 25,268,modern republican,583,"fish, hamilton jr.",196305,136619,0.695952713,136619,0.695952713,1
1980,11,colorado,colorado 2,61,democrat,180,"wirth, timothy e.",272295,153618,0.564160168,153618,0.564160168,1
1980,11,idaho,idaho 1,99,democrat,180,nichols,217542,100697,0.46288532,100697,0.46288532,0
1980,11,new york,new york 24,267,modern republican,583,"christiana, joseph w.",168553,52921,0.313972473,52921,0.313972473,0
1980,11,new jersey,new jersey 7,246,democrat,180,"maguire, andrew",214343,99737,0.465314925,99737,0.465314925,0
1980,11,michigan,michigan 5,198,others,4000,scattering,222158,39,0.000175551,39,0.000175551,0
1980,11,indiana,indiana 4,130,modern republican,583,"coats, dan r.",198342,120055,0.605292857,120055,0.605292857,1
1980,11,mississippi,mississippi 2,212,democrat,180,"bowen, david r.",139050,96750,0.695792854,96750,0.695792854,1
1980,11,new york,new york 5,285,right to life,589,"mcgrath, raymond j.",182368,6566,0.036004122,6566,0.036004122,0
1980,11,ohio,ohio 4,319,democrat,180,"tebben, gerry",184945,51150,0.276568711,51150,0.276568711,0
1980,11,minnesota,minnesota 5,207,modern republican,583,"doherty, john",280429,48200,0.171879515,48200,0.171879515,0
1980,11,michigan,michigan 16,191,others,4000,scattering,151465,7,4.62E-05,7,4.62E-05,0
1980,11,west virginia,west virginia 3,424,democrat,180,"hutchinson, john g.",179563,84980,0.473260075,84980,0.473260075,0
1980,11,california,california 11,19,democrat,180,"lantos, tom",185012,85823,0.463878006,85823,0.463878006,1
1980,11,michigan,michigan 17,192,others,4000,scattering,174528,23,0.000131784,23,0.000131784,0
1980,11,kansas,kansas 2,143,others,4000,scattering,170977,11,6.43E-05,11,6.43E-05,0
1980,11,wisconsin,wisconsin 2,427,modern republican,583,"wright, james a.",263138,119514,0.454187542,119514,0.454187542,0
1980,11,louisiana,louisiana 2,155,democrat,180,lindy (mrs. hale) boggs,74183,45091,0.607834697,45091,0.607834697,1
1980,11,north carolina,north carolina 4,295,modern republican,583,"hogan, thurman",184631,84631,0.458379149,84631,0.458379149,0
1980,11,michigan,michigan 3,196,democrat,180,"wolpe, howard",217414,113080,0.520113707,113080,0.520113707,1
1980,11,mississippi,mississippi 3,213,democrat,180,"montgomery, g.v. ""sonny""",-992,-992,-992,-992,-992,-992
1980,11,virginia,virginia 4,409,modern republican,583,"daniel, robert w. ""bob"" jr.",152494,92557,0.606955051,92557,0.606955051,1
1980,11,utah,utah 2,403,democrat,180,"monson, arthur l.",290765,87967,0.302536398,87967,0.302536398,0
1980,11,new jersey,new jersey 5,244,modern republican,583,"fenwick, millicent",201299,156016,0.775046051,156016,0.775046051,1
1980,11,massachusetts,massachusetts 8,182,democrat,180,"o'neill, thomas p. jr.",164183,128689,0.78381443,128689,0.78381443,1
1980,11,wisconsin,wisconsin 3,428,modern republican,583,"gunderson, steven",258868,132001,0.509916246,132001,0.509916246,1
1980,11,massachusetts,massachusetts 6,180,socialist workers,622,"gonzalez, nelson f.",219257,1304,0.005947358,1304,0.005947358,0
1980,11,michigan,michigan 1,184,libertarian,409,"jones, thomas w",130230,699,0.005367427,699,0.005367427,0
1980,11,georgia,georgia 5,92,modern republican,583,"dowda, f william",137286,35640,0.259604037,35640,0.259604037,0
1980,11,nevada,nevada,231,libertarian,409,"mangrum, h.",244579,7759,0.031723902,7759,0.031723902,0
1980,11,illinois,illinois 19,111,democrat,180,"hand, thomas j.",194369,51753,0.266261607,51753,0.266261607,0
1980,11,minnesota,minnesota 8,210,socialist workers,622,"gersh, ilona",258765,4134,0.015975885,4134,0.015975885,0
1980,11,new york,new york 32,276,democrat,180,"brooks, jeffrey s.",178957,52407,0.292846888,52407,0.292846888,0
1980,11,wyoming,wyoming,435,democrat,180,"rogers, jim",169699,53338,0.314309448,53338,0.314309448,0
1980,11,california,california 9,59,libertarian,409,"clanin, steven w.",163592,5823,0.03559465,5823,0.03559465,0
1980,11,georgia,georgia 9,96,democrat,180,"jenkins, ed",169917,115576,0.680190921,115576,0.680190921,1
1980,11,florida,florida 8,85,modern republican,583,"nicholson,s.",218913,61820,0.282395303,61820,0.282395303,0
1980,11,new york,new york 17,259,democrat,180,"murphy, john m.",145645,46178,0.317058593,46178,0.317058593,0
1980,11,california,california 39,49,modern republican,583,"dannemeyer, william e.",229732,175228,0.762749612,175228,0.762749612,1
1980,11,oklahoma,oklahoma 6,330,modern republican,583,"mccurley, carol",172674,60980,0.353151023,60980,0.353151023,0
1980,11,alabama,alabama 2,2,alabama libertarian,17,"hand, adam",172962,4103,0.023721974,4103,0.023721974,0
1980,11,maryland,maryland 1,164,modern republican,583,"bauman, robert e.",188886,91143,0.482529134,91143,0.482529134,0
1980,11,texas,texas 2,389,libertarian,409,"sorrells, martin",205768,2530,0.012295401,2530,0.012295401,0
1980,11,new york,new york 18,260,right to life,589,"washburn,  arthur l. jr.",161200,1073,0.006656328,1073,0.006656328,0
1980,11,north carolina,north carolina 10,291,modern republican,583,"broyhill, james t.",173262,120777,0.697077274,120777,0.697077274,1
1980,11,pennsylvania,pennsylvania 1,335,democrat,180,michael myers,155451,52956,0.340660393,52956,0.340660393,0
1980,11,oklahoma,oklahoma 4,328,modern republican,583,"rutledge, howard",145584,71339,0.4900195,71339,0.4900195,0
1980,11,new mexico,new mexico 1,249,democrat,180,"richardson, bill",246813,120903,0.48985669,120903,0.48985669,0
1980,11,illinois,illinois 14,106,others,4000,scattering,263828,21,7.96E-05,21,7.96E-05,0
1980,11,maryland,maryland 6,169,democrat,180,"byron, beverly b.",209014,146101,0.699001014,146101,0.699001014,1
1980,11,tennessee,tennessee 7,376,modern republican,583,"campbell, daniel",172835,39227,0.226962134,39227,0.226962134,0
1980,11,new york,new york 14,256,conservative,155,"lovell, christopher",59162,1103,0.018643724,1103,0.018643724,0
1980,11,north carolina,north carolina 11,292,democrat,180,"gudger, lamar",195274,90789,0.464931339,90789,0.464931339,0
1980,11,pennsylvania,pennsylvania 19,345,libertarian,409,daniel r. davies,180002,1545,0.008583238,1545,0.008583238,0
1980,11,ohio,ohio 12,305,democrat,180,"shamansky, bob",206804,108690,0.525570095,108690,0.525570095,1
1980,11,new jersey,new jersey 2,241,libertarian,409,"rothouse, robert c.",235710,2262,0.009596538,2262,0.009596538,0
1980,11,california,california 38,48,democrat,180,"patterson, jerry m.",165437,91880,0.555377603,91880,0.555377603,1
1980,11,delaware,delaware,71,libertarian,409,sullivan,216575,1506,0.006953711,1506,0.006953711,0
1980,11,kansas,kansas 4,145,modern republican,583,"hunter, clay",179913,55899,0.310700178,55899,0.310700178,0
1980,11,utah,utah 1,402,democrat,180,"mckay, gunn",301570,144459,0.479023099,144459,0.479023099,0
1980,11,illinois,illinois 24,117,democrat,180,"simon, paul",228296,112134,0.491178125,112134,0.491178125,1
1980,11,new york,new york 14,256,liberal,402,"richmond, frederic w.",59162,2100,0.035495758,2100,0.035495758,0
1980,11,new york,new york 38,282,right to life,589,"kemp, jack f.",205309,9563,0.046578571,9563,0.046578571,0
1980,11,texas,texas 15,384,democrat,180,"de la garza, e. ""kika""",150415,105325,0.700229347,105325,0.700229347,1
1980,11,iowa,iowa 2,137,unknown,3999,"roberson, james d.",206637,887,0.004292552,887,0.004292552,0
1980,11,pennsylvania,pennsylvania 15,341,republican,583,don ritter,167725,99874,0.595462799,99874,0.595462799,1
1980,11,georgia,georgia 2,89,modern republican,583,"harrell,  jack e jr",125371,33107,0.264072239,33107,0.264072239,0
1980,11,wisconsin,wisconsin 5,430,others,4000,scattering,168218,6,3.57E-05,6,3.57E-05,0
1980,11,louisiana,louisiana 8,161,democrat,180,gillis long,109492,75433,0.688936174,75433,0.688936174,1
1980,11,michigan,michigan 5,198,modern republican,583,"sawyer, harold s",222158,118061,0.531428099,118061,0.531428099,1
1980,11,illinois,illinois 19,111,modern republican,583,"railsback, tom",194369,142616,0.733738422,142616,0.733738422,1
1980,11,arizona,arizona 3,11,democrat,180,"stump, bob",219822,141448,0.643466055,141448,0.643466055,1
1980,11,michigan,michigan 12,187,democrat,180,"bonior, david e",203647,112698,0.553398788,112698,0.553398788,1
1980,11,new jersey,new jersey 8,247,modern republican,583,"cleveland, william r.",142201,44625,0.313816369,44625,0.313816369,0
1980,11,washington,washington 4,418,democrat,180,mccormack,234805,100114,0.426370829,100114,0.426370829,0
1980,11,new york,new york 11,253,right to life,589,"carlan, andrew e.",98222,2428,0.024719512,2428,0.024719512,0
1980,11,south dakota,south dakota 2,369,democrat,180,"stofferahn, kenneth d.",152438,63447,0.416215122,63447,0.416215122,0
1980,11,california,california 20,29,modern republican,583,"goldwater, barry jr.",253311,199681,0.788283944,199681,0.788283944,1
1980,11,michigan,michigan 15,190,democrat,180,"ford, william d",167795,113492,0.676372945,113492,0.676372945,1
1980,11,new york,new york 29,272,right to life,589,"solomon, gerald b",212328,5295,0.024937833,5295,0.024937833,0
1980,11,michigan,michigan 8,201,others,4000,scattering,204401,7,3.42E-05,7,3.42E-05,0
1980,11,maine,maine 2,163,democrat,180,"silverman, harold l.",237448,51026,0.214893371,51026,0.214893371,0
1980,11,georgia,georgia 7,94,democrat,180,"mcdonald, larry p",170134,115892,0.681180716,115892,0.681180716,1
1980,11,ohio,ohio 3,318,independent,6016,"righter, richard l.",166869,2903,0.01739688,2903,0.01739688,0
1980,11,ohio,ohio 1,302,democrat,180,"zwick, donald j.",166180,38529,0.231851012,38529,0.231851012,0
1980,11,illinois,illinois 16,108,democrat,180,"aurand, douglas r.",197147,64224,0.32576707,64224,0.32576707,0
1980,11,missouri,missouri 2,218,democrat,180,"young, robert a.",229989,148227,0.644496024,148227,0.644496024,1
1980,11,illinois,illinois 6,121,democrat,180,"reda, mario raymond",184550,60951,0.330268234,60951,0.330268234,0
1980,11,pennsylvania,pennsylvania 25,352,republican,583,robert morris,178585,58768,0.329075783,58768,0.329075783,0
1980,11,wisconsin,wisconsin 1,426,democrat,180,"aspin, les",224442,126222,0.562381387,126222,0.562381387,1
1980,11,minnesota,minnesota 6,208,modern republican,583,"weber, vin",266584,140402,0.526670754,140402,0.526670754,1
1980,11,connecticut,connecticut 1,65,modern republican,583,"anderson, marjorie d",218665,80816,0.369588196,80816,0.369588196,0
1980,11,california,california 28,37,modern republican,583,"reid, robert",137304,23179,0.168815181,23179,0.168815181,0
1980,11,massachusetts,massachusetts 2,176,others,4000,scattering,179665,35,0.000194807,35,0.000194807,0
1980,11,delaware,delaware,71,modern republican,583,evans,216575,133842,0.617993772,133842,0.617993772,1
1980,11,new york,new york 4,284,democrat,180,"brennan, charles f.",175725,54607,0.3107526,54607,0.3107526,0
1980,11,delaware,delaware,71,democrat,180,maxwell,216575,81227,0.375052512,81227,0.375052512,0
1980,11,indiana,indiana 1,125,modern republican,583,"harkin, joseph douglas",155553,43537,0.279885322,43537,0.279885322,0
1980,11,new jersey,new jersey 1,234,independent,6010,"watson, thomas s.",192081,1327,0.006908544,1327,0.006908544,0
1980,11,minnesota,minnesota 1,203,others,4000,scattering,238380,2,8.39E-06,2,8.39E-06,0
1980,11,ohio,ohio 10,303,modern republican,583,"miller, clarence e.",192836,143403,0.743652642,143403,0.743652642,1
1980,11,massachusetts,massachusetts 6,180,democrat,180,"mavroule, nicholas",219257,111393,0.50804764,111393,0.50804764,1
1980,11,new york,new york 15,257,right to life,589,"atanasio, paul m.",98976,3257,0.032906968,3257,0.032906968,0
1980,11,nebraska,nebraska 3,230,modern republican,583,"smith, virginia",217870,182887,0.839431763,182887,0.839431763,1
1980,11,florida,florida 3,80,modern republican,583,"radcliff, harry",135880,31208,0.229673237,31208,0.229673237,0
1980,11,ohio,ohio 4,319,modern republican,583,"guyer, tennyson",184945,133795,0.723431289,133795,0.723431289,1
1980,11,texas,texas 8,400,modern republican,583,"fields, jack",140777,72856,0.517527699,72856,0.517527699,1
1980,11,texas,texas 20,390,modern republican,583,"nash, merle",102685,17725,0.172615275,17725,0.172615275,0
1980,11,south dakota,south dakota 1,368,modern republican,583,"kull, bart",167065,57155,0.342112362,57155,0.342112362,0
1980,11,pennsylvania,pennsylvania 5,355,libertarian,409,david f. hoffman,198235,2245,0.011324943,2245,0.011324943,0
1980,11,new york,new york 30,274,liberal,402,"krupsak, mary anne",173889,4261,0.024504138,4261,0.024504138,0
1980,11,wisconsin,wisconsin 2,427,libertarian,409,"key, leslie graves",263138,1582,0.006012055,1582,0.006012055,0
1980,11,california,california 21,30,libertarian,409,"lehmann, george",153770,2791,0.018150484,2791,0.018150484,0
1980,11,nevada,nevada,231,democrat,180,"santini, j.",244579,165099,0.67503345,165099,0.67503345,1
1980,11,illinois,illinois 9,124,democrat,180,"yates, sidney r.",145788,106543,0.730807722,106543,0.730807722,1
1980,11,new york,new york 33,277,right to life,589,"jones, william l.",175271,2898,0.016534396,2898,0.016534396,0
1980,11,michigan,michigan 3,196,others,4000,scattering,217414,9,4.14E-05,9,4.14E-05,0
1980,11,new york,new york 3,273,liberal,402,"meehan, john t.",175657,4316,0.024570612,4316,0.024570612,0
1980,11,alabama,alabama 4,4,democrat,180,"bevill, tom",132086,129365,0.9793998,129365,0.9793998,1
1980,11,new york,new york 8,288,liberal,402,"rosenthal, benjamin s.",111429,5123,0.045975465,5123,0.045975465,0
1980,11,california,california 2,28,peace and freedom,496,"wren, linda d.",261674,3354,0.012817475,3354,0.012817475,0
1980,11,washington,washington 2,416,modern republican,583,snider,244641,82639,0.337797016,82639,0.337797016,0
1980,11,new york,new york 10,252,conservative,155,"cavanna, joseph p.",100918,3942,0.039061416,3942,0.039061416,0
1980,11,michigan,michigan 18,193,modern republican,583,"suida, betty j",207977,68575,0.329723954,68575,0.329723954,0
1980,11,pennsylvania,pennsylvania 5,355,republican,583,richard t. schulze,198235,148898,0.7511186,148898,0.7511186,1
1980,11,illinois,illinois 8,123,others,4000,scattering,116373,4,3.44E-05,4,3.44E-05,0
1980,11,new hampshire,new hampshire 2,233,others,4000,scattering,176679,25,0.0001415,25,0.0001415,0
1980,11,kansas,kansas 2,143,democrat,180,"keys, sam",170977,78859,0.461225778,78859,0.461225778,0
1980,11,virginia,virginia 2,407,others,4000,scattering,108328,6,5.54E-05,6,5.54E-05,0
1980,11,pennsylvania,pennsylvania 1,335,consumer,165,shaheed abdul haqq,155451,2704,0.017394548,2704,0.017394548,0
1980,11,new york,new york 35,279,democrat,180,"owens, john m.",176774,39214,0.221831262,39214,0.221831262,0
1980,11,illinois,illinois 2,112,others,4000,scattering,147302,103,0.000699244,103,0.000699244,0
1980,11,california,california 2,28,democrat,180,"bork, norma k.",261674,109789,0.419564039,109789,0.419564039,0
1980,11,new jersey,new jersey 11,236,independent,6011,"trugman, robert g.",168524,1630,0.009672212,1630,0.009672212,0
1980,11,ohio,ohio 2,313,modern republican,583,"atkins, tom (thearon)",176116,72693,0.412756354,72693,0.412756354,0
1980,11,california,california 40,51,libertarian,409,"mahaffey, dan",304997,24486,0.080282755,24486,0.080282755,0
1980,11,ohio,ohio 23,317,democrat,180,"mottl, ronald m.",144377,144371,0.999958456,144371,0.999958456,1
1980,11,wisconsin,wisconsin 3,428,democrat,180,"baldus, alvin j.",258868,126859,0.490052849,126859,0.490052849,0
1980,11,texas,texas 22,392,unknown,3999,"nance, vaundie v.",209251,1360,0.006499371,1360,0.006499371,0
1980,11,texas,texas 23,393,democrat,180,"kazen,  abraham ""chick"" jr.",149734,104595,0.698538721,104595,0.698538721,1
1980,11,missouri,missouri 7,223,democrat,180,"young, ken",238512,76844,0.322180867,76844,0.322180867,0
1980,11,illinois,illinois 8,123,modern republican,583,"zilke, walter f.",116373,17845,0.153343126,17845,0.153343126,0
